nome_territorio,2020,2021,2022,2023,2024,2025,2026
PA CIPOAL,18,5,11,26,18,5,25
PA Curumu II,11,9,12,26,30,12,53
PA REPARTIMENTO,16,9,3,21,10,14,34
PA VALE DO AÇAÍ,39,33,24,56,35,16,86
PAC ANANIZAL,1,2,1,11,5,1,8
PAE CACHOERY,63,30,36,122,76,56,236
PAE CACOAL GRANDE,25,7,15,41,17,18,34
PAE MADALENA,0,0,0,1,9,0,2
PAE MARIA TEREZA,2,0,1,13,10,0,0
PAE PARANA DE BAIXO,1,0,0,1,0,0,6
PAE PARANA DONA ROSA,0,1,0,0,3,0,1
PAE PARU,42,24,32,64,59,25,127
PAE TRES ILHAS,1,0,0,1,1,0,2
PAE VALE DO SALGADO,46,34,33,75,42,24,89
PDS MALOCA,29,8,15,41,39,13,120
