ano,mes,focos,variacao_%
2020,6,21,2000.0
2020,7,83,295.23809523809524
2020,10,218,215.94202898550722
2020,12,87,74.0
2021,3,2,100.0
2021,5,8,700.0
2021,6,18,125.0
2021,7,54,200.0
2021,10,69,35.29411764705883
2022,6,18,1700.0
2022,7,42,133.33333333333334
2022,8,68,61.904761904761905
2022,9,104,52.941176470588225
2023,5,6,500.0
2023,6,39,550.0
2023,7,80,105.12820512820511
2023,8,110,37.5
2023,9,293,166.36363636363635
2023,10,416,41.97952218430034
2024,6,9,800.0
2024,7,30,233.33333333333334
2024,8,69,129.99999999999997
2024,9,94,36.23188405797102
2024,10,156,65.95744680851064
2024,11,243,55.769230769230774
2025,6,5,150.0
2025,7,16,220.00000000000003
2025,8,33,106.25
2025,10,168,320.0
2026,1,374,310.9890109890109
2026,5,54,390.90909090909093
2026,6,103,90.74074074074075
2026,7,239,132.0388349514563
2026,8,822,243.93305439330547
