ano,mes,focos,variacao_%
2020,3,213,65.11627906976744
2020,4,348,63.38028169014085
2020,6,733,80.0982800982801
2020,7,3029,313.2332878581173
2020,8,11716,286.79432155827004
2021,2,404,32.89473684210527
2021,4,286,136.36363636363637
2021,5,473,65.38461538461537
2021,7,1971,264.3253234750462
2021,8,9073,360.3247082699138
2022,5,348,255.10204081632654
2022,6,670,92.52873563218391
2022,7,1995,197.76119402985074
2022,8,13005,551.8796992481203
2023,5,413,225.1968503937008
2023,6,872,111.13801452784502
2023,7,2165,148.27981651376146
2023,8,7145,230.0230946882217
2023,9,9777,36.83694891532541
2024,5,358,222.5225225225225
2024,6,881,146.08938547486034
2024,7,3504,297.7298524404086
2024,8,14842,323.57305936073055
2024,11,9981,34.00912996777659
2025,5,346,166.15384615384613
2025,7,1144,162.38532110091742
2025,8,1780,55.59440559440561
2025,9,3505,96.91011235955057
2025,11,6064,49.80237154150198
2026,1,16972,476.29881154499157
2026,5,4421,123.28282828282826
2026,6,6480,46.57317349016059
2026,7,14747,127.57716049382717
2026,8,87589,493.9445310910694
