ano,mes,focos,variacao_%
2020,3,3,-40.0
2020,5,1,-66.66666666666667
2020,11,50,-77.06422018348624
2021,1,17,-80.45977011494253
2021,2,1,-94.11764705882352
2021,4,1,-50.0
2022,1,3,-92.5
2022,3,2,-33.333333333333336
2022,5,1,-50.0
2022,11,64,-31.182795698924725
2022,12,33,-48.4375
2023,1,6,-81.81818181818181
2023,2,3,-50.0
2023,3,2,-33.333333333333336
2023,4,1,-50.0
2023,11,192,-53.84615384615385
2023,12,101,-47.395833333333336
2024,1,9,-91.0891089108911
2024,3,5,-54.54545454545454
2024,5,1,-80.0
2024,12,81,-66.66666666666667
2025,1,25,-69.1358024691358
2025,2,2,-92.0
2025,12,91,-38.92617449664429
2026,2,59,-84.22459893048129
2026,4,11,-79.62962962962963
