ano,mes,focos,variacao_%
2020,2,129,-60.55045871559632
2020,11,3337,-61.43088303282478
2021,1,304,-87.37017033651848
2021,3,121,-70.04950495049505
2021,9,4658,-48.66086189793894
2021,12,866,-79.32187201528176
2022,1,276,-68.12933025404158
2022,2,165,-40.21739130434783
2022,3,76,-53.93939393939393
2022,10,7758,-39.51820378888282
2022,11,5018,-35.318381026037635
2022,12,1756,-65.00597847748107
2023,1,451,-74.31662870159454
2023,2,143,-68.29268292682926
2023,12,2660,-68.85245901639344
2024,1,733,-72.4436090225564
2024,2,337,-54.024556616643935
2024,3,224,-33.531157270029674
2024,4,111,-50.44642857142857
2024,10,7448,-58.841732979664016
2024,12,3333,-66.60655244965434
2025,1,491,-85.26852685268527
2025,2,183,-62.729124236252545
2025,12,2945,-51.434696569920845
2026,2,3618,-78.6825359415508
2026,4,1980,-38.06693775414451
