municipio,focos
ALTAMIRA,12840
SAO FELIX DO XINGU,12723
NOVO PROGRESSO,7550
ITAITUBA,4976
PORTEL,3436
PACAJA,3187
JACAREACANGA,2436
MOJU,2119
URUARA,1847
PLACAS,1794
SANTA MARIA DAS BARREIRAS,1701
TRAIRAO,1701
NOVO REPARTIMENTO,1611
SENADOR JOSE PORFIRIO,1581
CUMARU DO NORTE,1575
RUROPOLIS,1547
ANAPU,1483
OBIDOS,1417
ACARA,1360
SANTANA DO ARAGUAIA,1238
AVEIRO,1229
PARAGOMINAS,1148
MONTE ALEGRE,1141
MARABA,1106
PRAINHA,1086
MEDICILANDIA,1068
ORIXIMINA,1044
CONCEICAO DO ARAGUAIA,944
SANTAREM,921
RONDON DO PARA,869
ALENQUER,863
MOJUI DOS CAMPOS,849
OURILANDIA DO NORTE,826
TAILANDIA,786
TOME-ACU,744
PORTO DE MOZ,729
CAMETA,719
ITUPIRANGA,663
PRUDENTOPOLIS,625
ALMEIRIM,616
IPIXUNA DO PARA,616
DOM ELISEU,595
GOIANESIA DO PARA,515
SAO DOMINGOS DO CAPIM,504
ULIANOPOLIS,500
JURUTI,477
OEIRAS DO PARA,448
BAIAO,413
AGUA AZUL DO NORTE,391
NOVA ESPERANCA DO PIRIA,379
BREU BRANCO,366
VISEU,358
BANNACH,357
CAPITAO POCO,357
CACHOEIRA DO PIRIA,344
NOVA LARANJEIRAS,338
MOCAJUBA,326
AURORA DO PARA,324
BREVES,318
BUJARU,317
FLORESTA DO ARAGUAIA,317
RIO MARIA,313
BRAGANCA,302
CURRALINHO,290
BRASIL NOVO,287
GARRAFAO DO NORTE,280
PAU D'ARCO,270
PALMAS,262
BOM JESUS DO TOCANTINS,245
TUCUMA,239
IGARAPE-MIRI,236
IRITUIA,236
ABAETETUBA,233
CONCORDIA DO PARA,229
BELTERRA,219
MUANA,216
PARAUAPEBAS,215
TUCURUI,214
CRUZ MACHADO,214
CURUA,211
PONTA DE PEDRAS,205
SAO MIGUEL DO GUAMA,204
BAGRE,198
PINHAO,192
IVAI,189
REDENCAO,186
CERRO AZUL,183
RIO BRANCO DO SUL,182
AUGUSTO CORREA,181
LAPA,171
CASTRO,168
GUARAPUAVA,163
GURUPA,159
CORONEL DOMINGOS SOARES,152
CACHOEIRA DO ARARI,152
MARACANA,148
BITURUNA,140
CHAVES,137
QUEDAS DO IGUACU,135
ELDORADO DO CARAJAS,134
SANTA LUZIA DO PARA,132
CAJAZEIRAS,131
TERRA SANTA,130
INACIO MARTINS,130
RIO BONITO DO IGUACU,128
MARAPANIM,126
CANAA DOS CARAJAS,125
SALVATERRA,124
FARO,118
MELGACO,115
TIBAGI,114
NOVA IPIXUNA,113
CONCEICAO,111
XINGUARA,110
PONTA GROSSA,103
CAMPO LARGO,103
BARCARENA,98
SAO JOAO DO ARAGUAIA,98
ADRIANOPOLIS,98
SAO MATEUS DO SUL,96
ORTIGUEIRA,94
SAO GERALDO DO ARAGUAIA,92
VITORIA DO XINGU,89
OLHO D'AGUA,88
CASTANHAL,88
ABEL FIGUEIREDO,88
IGARAPE-ACU,88
PALMEIRA,87
IRATI,87
CURIONOPOLIS,87
GENERAL CARNEIRO,83
TRACUATEUA,81
JAGUARIAIVA,80
RESERVA,77
PRINCESA ISABEL,76
MAGALHAES BARATA,76
PIANCO,75
SAO JOAO DE PIRABAS,73
CANDIDO DE ABREU,72
CANDOI,71
ITAPORANGA,71
ITAPERUCU,71
JACUNDA,71
BONITO,71
PIRAI DO SUL,69
CASCAVEL,69
PICARRA,68
SOUSA,67
TURVO,65
IMACULADA,64
POMBAL,64
SAO JOSE DE PIRANHAS,64
SAO DOMINGOS DO ARAGUAIA,63
SANTANA DE MANGUEIRA,63
GOIOXIM,62
NOVA TIMBOTEUA,62
PITANGA,61
SAO FRANCISCO DO PARA,56
SANTANA DOS GARROTES,56
OUREM,56
DOUTOR ULYSSES,55
GUAIRACA,55
JURU,54
SAO JOAO DO TRIUNFO,54
ANTONIO OLINTO,54
SAO JERONIMO DA SERRA,53
SANTA MARIA DO OESTE,53
MANAIRA,52
TIJUCAS DO SUL,51
PEIXE-BOI,50
PRIMAVERA,50
IPIRANGA,50
CAPANEMA,50
IMBITUVA,49
SOURE,49
BOCAIUVA DO SUL,48
CACHOEIRA DOS INDIOS,47
UIRAUNA,47
SAO JOSE DE ESPINHARAS,47
RONDON,46
MANGUEIRINHA,45
MALLET,45
IBIARA,45
CURUCA,45
RIO AZUL,44
SAO JOSE DA LAGOA TAPADA,44
SAO CAETANO DE ODIVELAS,43
LONDRINA,43
TEIXEIRA SOARES,43
QUERENCIA DO NORTE,42
PIEN,41
INHANGAPI,41
CAMPINA DO SIMAO,40
CATINGUEIRA,39
JACAREZINHO,39
GUARANIACU,39
ESPIGAO ALTO DO IGUACU,39
CANTAGALO,39
PORTO BARREIRO,38
BREJO GRANDE DO ARAGUAIA,38
CURIUVA,38
SANTA MARIA DO PARA,38
LARANJEIRAS DO SUL,37
BOA VENTURA DE SAO ROQUE,37
CLEVELANDIA,36
MAE DO RIO,36
MONTEIRO,36
PARANAVAI,36
RIO NEGRO,36
NAZAREZINHO,36
TAVARES,35
SANTAREM NOVO,35
CHOPINZINHO,34
COREMAS,34
SAO JOAO DO RIO DO PEIXE,34
DIAMANTE,33
MANDIRITUBA,33
SAPUCAIA,33
SAPOPEMA,33
BONITO DE SANTA FE,32
QUITANDINHA,32
FRANCISCO BELTRAO,32
GUAMIRANGA,32
BOM SUCESSO,31
APARECIDA,30
BANDEIRANTES,29
PATOS,29
SANTA RITA,29
SANTA CRUZ DO ARARI,28
SANTA TERESINHA,28
SANTO ANTONIO DA PLATINA,28
SANTA INES,28
MAE D'AGUA,28
AGUIAR,28
PALMITAL,28
APUCARANA,28
RESERVA DO IGUACU,28
CURRAL VELHO,28
VIRMOND,27
IBAITI,27
GUAIRA,27
TAPEJARA,26
FERNANDES PINHEIRO,26
SAO JOSE DE PRINCESA,26
BOA VENTURA,26
HONORIO SERPA,26
PORECATU,26
NOVA OLINDA,26
ALMIRANTE TAMANDARE,25
VENTANIA,25
CAJAZEIRINHAS,25
CATOLE DO ROCHA,24
SANTO ANTONIO DO TAUA,24
JOCA CLAUDINO,23
AGUA BRANCA,23
SAO SEBASTIAO DA BOA VISTA,23
UMUARAMA,23
IMBAU,23
QUATIPURU,22
REBOUCAS,22
SAO JOSE DOS PINHAIS,22
SANTA CRUZ,21
RIO TINTO,21
VIGIA,21
LIMOEIRO DO AJURU,21
NOVA ESPERANCA,21
IRETAMA,21
CRUZEIRO DO OESTE,21
SAO JOAO DA PONTA,21
SANTA IZABEL DO PARA,20
SANTA CRUZ DE MONTE CASTELO,20
SENGES,20
PALESTINA DO PARA,20
SAO PEDRO DO IVAI,20
BERNARDINO BATISTA,20
TERRA RICA,20
CARAMBEI,20
FLORESTOPOLIS,19
PORTO VITORIA,19
CORNELIO PROCOPIO,19
MARQUINHO,19
JAGUAPITA,19
TUNAS DO PARANA,19
PORTO AMAZONAS,19
SAO JOSE DE CAIANA,19
POCO DANTAS,19
ALTO PARANA,18
IGARACY,18
BALSA NOVA,18
POCO DE JOSE DE MOURA,18
LAGOA,18
