categoria_territorial,nome_territorio,total_focos,percentual_%
Território Quilombola (TQ),TQ Alto Trombetas / Silêncio / Muratubinha,1931,34.35
Terra Indígena (TI),TI Zoé / Kaxuyana-Tunayana,822,14.62
Unidade de Conservação (UC),FLOTA Trombetas,670,11.92
Território Quilombola (TQ),TQ Mondongo / Arapucu / Cabeceiras,595,10.59
Terra Indígena (TI),TI Trombetas-Mapuera / Nhamundá,536,9.54
Projeto de Assentamento (PA),PAE Lago Grande / Curumu / Salvação,491,8.74
Área Privada / Outras Áreas,Área Privada / Sede / Não Destinada,283,5.03
Projeto de Assentamento (PA),PA Serra Azul / Centrinho / Mamauru,270,4.8
Unidade de Conservação (UC),FLOTA Faro,13,0.23
Terra Indígena (TI),TI Nhamundá-Mapuera,10,0.18
